step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_pre_clip_mean,fit/grad_norm_pre_clip_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,fit/rand_diff_loss_mean,fit/rand_diff_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std
4049,2,,,,,0.0,0.0,0.08709841966629028,0.006819107207971589,0.11016571894288063,0.005454998114136184,0.07616649568080902,0.0012297396724266106,3.3999226093292236,0.4225262024191697,,,,
4099,2,,,,,0.0,0.0,0.09561998024582863,0.0025942596980349964,0.1335761547088623,0.006612124034934589,0.09800518304109573,0.00435031340959746,3.557096481323242,0.22618089394631877,,,,
4149,2,,,,,0.0,0.0,0.0881769135594368,0.008968775606133355,0.11604649946093559,0.012143755656375706,0.08208762481808662,0.010152011499584258,3.3958874940872192,0.1991743735322962,,,,
4199,2,,,,,0.0,0.0,0.09116470441222191,0.00158615976521505,0.11892679333686829,0.0038323707882470834,0.08419356495141983,0.00200543134584536,3.4733229875564575,0.18269394424017235,,,,
4249,2,,,,,0.0,0.0,0.09030352160334587,0.0016166108632641707,0.11922727525234222,0.011375455486514554,0.0843682698905468,0.009664688563677047,3.485900640487671,0.17107641832923548,,,,
4299,2,,,,,0.0,0.0,0.08849276229739189,0.002559910016498618,0.11636386811733246,0.0013402592459343025,0.08419497683644295,0.004197862990177492,3.216889262199402,0.2857605219382888,,,,
4349,2,,,,,0.0,0.0,0.08916620537638664,0.008711790465694244,0.11932101473212242,0.004125971003330035,0.08566625788807869,0.0013379675110465226,3.3654755353927612,0.2787998856130176,,,,
4399,2,,,,,0.0,0.0,0.10274852812290192,0.012856200715247795,0.1351003423333168,0.01019141353458588,0.10138655081391335,0.012715593560259388,3.3713796138763428,0.2524184872561086,,,,
4449,2,,,,,0.0,0.0,0.0978061743080616,0.00025925053354657307,0.1251279003918171,0.002293647301031045,0.089350376278162,0.00410248467199734,3.577752113342285,0.18088415856511458,,,,
4499,2,,,,,0.0,0.0,0.08604785427451134,0.003499774201579427,0.10938333719968796,0.00973319299757544,0.07617389410734177,0.012776532634850077,3.320944666862488,0.3043341323148577,,,,
4549,2,,,,,0.0,0.0,0.09189870208501816,0.0027761918379883344,0.11704974994063377,0.018704270875308706,0.0844767764210701,0.01663437065630987,3.2572972774505615,0.20698991653276233,,,,
4599,2,,,,,0.0,0.0,0.09227332845330238,0.0017568650383962983,0.13036074489355087,0.0076655107564794905,0.09783656522631645,0.00639834995093127,3.25241756439209,0.1267156801597612,,,,
4649,2,,,,,0.0,0.0,0.08855455741286278,0.00435964366818656,0.11063512414693832,0.013837453105566302,0.07788756489753723,0.012151073402948409,3.2747557163238525,0.1686383074365773,,,,
4699,2,,,,,0.0,0.0,0.09090384840965271,0.0023782518310606006,0.11393258720636368,0.00035362259571852865,0.08122318983078003,0.0036633935358547816,3.270939588546753,0.3309771783073223,,,,
4749,2,,,,,0.0,0.0,0.09178199246525764,0.004887764753452317,0.12168639898300171,0.0053112826290700995,0.08929585292935371,0.007342565798120829,3.2390546798706055,0.20312892803437635,,,,
4799,2,,,,,0.0,0.0,0.10044688731431961,0.01847178359056655,0.1345496065914631,0.03681551978700094,0.10264237970113754,0.035098536204008074,3.1907225847244263,0.17169800005107416,,,,
