step,n_seeds,spectral_norm_mean,spectral_norm_std,stable_rank_mean,stable_rank_std,effective_rank_mean,effective_rank_std,n_svs_above_1pct_mean,n_svs_above_1pct_std
8500,3,1.7325302296214633,0.10724318701354944,28.93092034905299,2.9007431139863793,136.3629230235649,4.0290604526018905,544.8888888888889,1.0715167512214552
9000,3,1.7443569633695815,0.11054130425341069,28.951558499068287,3.119265931818132,133.15312386495174,4.405088519011358,544.6666666666666,0.9279607271382996
9500,3,1.7262097994486492,0.09244320689990043,29.41765457358987,2.803090220277514,130.798917435002,3.68491850871533,544.0,0.7637626158259734
10000,3,1.7193605105082195,0.11097750399095581,29.62301089426159,3.2876886122650335,128.31867630415928,4.184486945215965,544.0555555555555,0.7876359377087815
10500,3,1.7348445720142789,0.13828090391299372,29.47005815504931,3.9858089582573597,125.83364774250276,4.475120708052566,542.5,1.6414763002993873
11000,3,1.714115513695611,0.09370717665837476,30.100092341254637,2.8934508775201238,124.41502725198363,3.5153847775731224,542.8888888888889,1.601503922822209
11500,3,1.7185704112052917,0.11009904823961691,30.023786479491147,3.287478627756331,122.37044921713003,3.688654922153064,542.1111111111111,0.6938886664886805
12000,3,1.7166301276948717,0.11154350543741308,30.03594896173806,3.5170014451122302,121.33589434201028,3.4240748114347257,542.4444444444445,1.1344765475923837
12500,3,1.7059094508488972,0.115472052903025,30.567827454966643,3.7167584285745403,119.194640417546,3.7556923872576875,541.5555555555555,1.9883922409080999
13000,3,1.70476100842158,0.13882697286124832,30.632000429961067,4.240001509501692,117.75706608146793,3.5682724617486916,541.5,2.0883273476902566
13500,3,1.7132882475852966,0.13368128825416578,30.83149840380252,4.309418500398511,116.27440109179265,3.6585495417210914,539.8333333333334,1.4813657362192925
14000,3,1.7093891898790996,0.1292881349496223,30.809068959055086,4.343656029424289,115.5213260906676,3.489095073503113,539.4444444444445,1.3368010461684767
14500,3,1.6945276922649808,0.1330498591338889,31.38385709084814,4.581703582630336,114.2210930717861,3.2071230098424937,539.4444444444445,1.5752718754175428
15000,3,1.7173895703421698,0.12362480144231452,30.909879698743243,4.274013871499195,112.99161606466127,3.1097368633433535,537.9444444444445,2.3648662948658457
15500,3,1.7077196174197726,0.1304973995321915,31.36204923973438,4.570102882688446,112.20571053599414,3.1432767485498228,538.0,2.7838821814150108
16000,3,1.6977412170834012,0.1342226023362476,31.708726610259774,4.791950112653535,111.37701687206325,2.758398312117192,538.0,3.122498999199199
16500,3,1.7003602650430467,0.12930347280396653,31.688269836616325,4.827436650578134,110.28052098081,2.4362077404150746,537.1666666666666,2.6666666666666856
17000,3,1.6928964522149827,0.13274103746250296,32.046782028758685,4.920141666703408,109.78149533489355,1.9431004544552462,538.0555555555555,1.7105338131489822
17500,3,1.7149725821283128,0.10934412288204863,31.440694785803057,3.95908795044466,108.64940641774541,1.401073371185189,537.0555555555555,2.0023134767711213
18000,3,1.706660098499722,0.10813125561397295,31.82094933085818,4.026586362692926,107.72910752993765,1.2466622252540684,536.6111111111111,2.86905585192783
18500,3,1.7083764870961506,0.09163837626560543,31.87925324820952,3.250101016726452,106.76470929676705,1.1468113140322531,535.5,2.0816659994661326
19000,3,1.6985333230760362,0.08928228951547824,32.086939364307405,3.212284656999505,106.02290715355406,1.153054838129636,535.3333333333334,1.9649710204252773
19500,3,1.7088877360026042,0.10268258806401825,31.97297002295462,3.5434672891238033,105.17528770147561,1.115018254792902,534.6111111111111,1.7664570106205133
20000,3,1.7050030562612746,0.08735712062388744,32.06531449869067,2.9759378812983095,104.48010523718985,1.0415625439576257,534.0555555555555,1.5752718754175428
20500,3,1.7310706575711567,0.06867531101970888,31.326149841259966,2.3232608278478457,103.7317206911114,1.250005180910359,534.1111111111111,2.009237924447238
21000,3,1.7251038418875801,0.07612354934544086,31.663839360714004,2.6939131841781467,103.03761860143427,1.3499277408782513,533.4444444444445,0.9477067838462422
